estacao,lat,long,prec
355070412A,-23.797,-45.541,628.72
355070413A,-23.814,-45.531,686.63
355070414A,-23.777,-45.612,641.31
355070415A,-23.793,-45.403,463.04
355070416A,-23.793,-45.566,452.45
355070420A,-23.732,-45.403,497.39
355100901A,-23.961,-46.412,24
355100902A,-23.976,-46.477,304.29
355100903G,-23.972864,-46.388699,643.4
355100904A,-23.97899,-46.3838,320.6
355100904G,-23.965185,-46.36284,466.6
355100905G,-23.959427,-46.361482,790.6
355160301A,-22.63337,-46.72753,726.8
355180101A,-24.391,-47.926,695.4
355180102A,-24.38004,-47.93158,621.92
355200701A,-22.6714,-44.85211,767.8
355210601A,-22.59743,-46.51566,472.8
355220503A,-23.508,-47.486,679.08
355220504A,-23.51027,-47.36154,582.4
355220505A,-23.51807,-47.41729,573.4
355220507A,-23.436,-47.506,468.4
355220508A,-23.4553,-47.4428,514
355220509A,-23.42682,-47.36295,508.4
355220510A,-23.478,-47.422,425.2
355240302A,-22.808,-47.223,419.8
355240304A,-22.795,-47.279,632.6
355250201A,-23.64494,-46.32195,605
355250202A,-23.58781,-46.30472,511.2
355250203A,-23.54812,-46.30472,511.6
355250225H,-23.5206,-46.2999,642.6
355280901A,-23.6212,-46.7782,742.22
355280902A,-23.6263,-46.8045,827.6
355280904A,-23.604,-46.762,345.8
355400301A,-23.35854,-47.851,560.8
355410201A,-23.03827,-45.573,465.2
355450801A,-23.11,-47.717,658
355465601A,-23.24712,-48.19583,532.8
355480501A,-22.96296,-45.54883,406.4
355495301A,-22.81457,-46.69565,724.6
355540601A,-23.465,-45.06,917.4
355540602A,-23.494,-45.173,599.16
355540603A,-23.427,-45.122,968.48
355540606A,-23.452,-45.079,650.26
355540607A,-23.517,-45.196,1055.75
355540609A,-23.347,-44.94,950.62
355540610A,-23.425,-45.106,946.49
355540611A,-23.401,-45.119,1052.22
355540614A,-23.398,-45.004,396.13
355540615A,-23.376,-44.838,725.41
355540616A,-23.434,-45.077,943.22
355540616H,-23.4305,-45.0852,737.2
355540617A,-23.439,-45.103,960.89
355540618A,-23.54,-45.255,525.08
355540619A,-23.541,-45.237,869.46
355540621A,-23.364,-44.887,1058.12
355540622A,-23.44,-45.082,1020.48
355540623A,-23.485,-45.105,952.25
355620601A,-22.964,-47.003,676.4
355635401A,-22.898,-46.38,569.47
355635402A,-22.86,-46.373,308.79
355640401A,-21.82982,-46.89509,569.4
355640429H,-21.83569,-46.896239,116.2
355645301A,-23.602,-47.021,36
355650301A,-23.211,-46.832,699.22
355650302A,-23.19278,-46.81684,684
355670101A,-23.02933,-46.982518,694.14
355700601A,-23.545,-47.447,113.27
355730301A,-22.273017,-46.966627,649.6
CEMADEN_10,-22.674132,-44.995534,542.16
CEMADEN_11,-22.67408,-44.99575,607.34
CEMADEN_12,-22.67403,-44.99584,582.49
